"g15_name","g331goodstnvedcode","cost","quantity","type","price"
"ПОЛЬША","4011209000","8815823282.070002","868806","Шины(общее)","10147.06"
"КИТАЙ","4011100009","3049120380.689995","2815605","Шины(общее)","1082.94"
"КИТАЙ","4011100003","2426229134.9099936","3407328","Шины(общее)","712.06"
"ПОЛЬША","4011100009","2295122159.8800077","675135","Шины(общее)","3399.50"
"ПОЛЬША","8418102001","1951080225.39","171261","Холодильники(общее)","11392.44"
"ВЬЕТНАМ","4011209000","1443982222.6199996","281547","Шины(общее)","5128.74"
"СЕРБИЯ","4011100003","1335362459.49","1539342","Шины(общее)","867.49"
"КИТАЙ","4011201000","1296323468.6399999","1285569","Шины(общее)","1008.37"
"СЕРБИЯ","4011100009","1136314190.2499995","998640","Шины(общее)","1137.86"
"ТАИЛАНД","4011209000","1136208912.930001","204363","Шины(общее)","5559.76"
"ИСПАНИЯ","4011209000","927465130.8000003","128988","Шины(общее)","7190.32"
"ГЕРМАНИЯ","4011209000","921356685.0900003","81504","Шины(общее)","11304.44"
"ЛИТВА","4011209000","772981808.4899998","118935","Шины(общее)","6499.20"
"КИТАЙ","4011209000","659450341.4399999","186822","Шины(общее)","3529.83"
"ТУРЦИЯ","4011201000","588276023.7599998","404505","Шины(общее)","1454.31"
"КОРЕЯ, РЕСПУБЛИКА","4011100009","551856439.260005","331416","Шины(общее)","1665.15"
"ТУРЦИЯ","4011700000","502025014.8900001","90945","Шины(общее)","5520.09"
"ТУРЦИЯ","4011100009","476915140.4400001","335313","Шины(общее)","1422.30"
"КОРЕЯ, РЕСПУБЛИКА","4011100003","444503973.77998096","519291","Шины(общее)","855.98"
"ТУРЦИЯ","4011100003","440188480.0799997","492651","Шины(общее)","893.51"
"ЛИТВА","4011100009","390691456.11000043","174393","Шины(общее)","2240.29"
"СЕРБИЯ","4011201000","390483337.13999975","299781","Шины(общее)","1302.56"
"ПОЛЬША","4011400000","380235852.1800002","152010","Шины(общее)","2501.39"
"УЗБЕКИСТАН","8418102001","320106114.5400002","27405","Холодильники(общее)","11680.57"
"ЯПОНИЯ","4011209000","307586333.33999985","28917","Шины(общее)","10636.87"
"НИДЕРЛАНДЫ","4011209000","296691385.4100001","22932","Шины(общее)","12937.88"
NULL,"4011209000","277391515.40999997","26568","Шины(общее)","10440.81"
"ПОЛЬША","4011201000","274584204.45000017","160497","Шины(общее)","1710.84"
"ПОЛЬША","4011100003","253803749.22000003","235233","Шины(общее)","1078.95"
"ПОЛЬША","8418108001","242604255.87000006","20115","Холодильники(общее)","12060.86"
"БЕЛЬГИЯ","4011100009","228069938.25","41517","Шины(общее)","5493.41"
"ТУРЦИЯ","4011800000","220236961.22999996","38961","Шины(общее)","5652.75"
"КИТАЙ","4011700000","206754023.6099999","89172","Шины(общее)","2318.60"
"ВЕНГРИЯ","4011100009","181365067.71000016","65394","Шины(общее)","2773.42"
"КИТАЙ","4011800000","162720970.4700001","91602","Шины(общее)","1776.39"
"ГЕРМАНИЯ","4011400000","150539549.7600001","58509","Шины(общее)","2572.93"
"КИТАЙ","8418102001","131311518.66","6102","Холодильники(общее)","21519.42"
"ИСПАНИЯ","4011100009","127476460.26","60489","Шины(общее)","2107.43"
"ЛИТВА","4011700000","123639868.53","32616","Шины(общее)","3790.77"
"КОРЕЯ, РЕСПУБЛИКА","4011201000","108102728.78999999","87201","Шины(общее)","1239.70"
"ЛИТВА","8418108001","106755548.13000004","25902","Холодильники(общее)","4121.52"
"КИТАЙ","4011900000","89341333.82999997","1366569","Шины(общее)","65.38"
"РОССИЯ","4011100003","85695177.15000004","126936","Шины(общее)","675.11"
"ЯПОНИЯ","4011100009","82015453.25999998","27036","Шины(общее)","3033.56"
"НИДЕРЛАНДЫ","4011100009","79848273.14999996","21411","Шины(общее)","3729.31"
"ИНДИЯ","4011700000","78065599.22999996","14481","Шины(общее)","5390.90"
"ТУРЦИЯ","4011209000","77256763.19999999","8325","Шины(общее)","9280.09"
"ЛИТВА","8418102001","75614983.10999997","13977","Холодильники(общее)","5409.96"
"РУМЫНИЯ","8418102001","74077140.6","7443","Холодильники(общее)","9952.59"
"УЗБЕКИСТАН","8418108001","72113251.86000001","12231","Холодильники(общее)","5895.94"
NULL,"4011100009","67920551.72999999","47007","Шины(общее)","1444.90"
"ВЕНГРИЯ","4011100003","64102602.14999999","50652","Шины(общее)","1265.55"
"ЧЕХИЯ","4011100009","62846928.81000001","25416","Шины(общее)","2472.73"
"ЛИТВА","4011100003","59820791.48999986","179748","Шины(общее)","332.80"
"ИСПАНИЯ","4011100003","58717616.039999984","47349","Шины(общее)","1240.10"
"ЛИТВА","4011400000","50950605.41999992","157806","Шины(общее)","322.87"
"ПОЛЬША","8418215900","50206865.85000002","4005","Холодильники(общее)","12536.05"
"ИТАЛИЯ","4011100003","44443137.510000005","36063","Шины(общее)","1232.37"
"ПОЛЬША","8418402001","40985006.940000005","4689","Холодильники(общее)","8740.67"
"ЭСТОНИЯ","4011201000","40259645.45999999","28206","Шины(общее)","1427.34"
"ЛИТВА","4011201000","35857610.55","18864","Шины(общее)","1900.85"
"ГЕРМАНИЯ","4011700000","34690794.20999999","2646","Шины(общее)","13110.66"
"ЛИТВА","8418215900","34683875.99999998","8757","Холодильники(общее)","3960.70"
"ИТАЛИЯ","8418108001","30767163.930000007","1971","Холодильники(общее)","15609.93"
"РОССИЯ","4011201000","29445219.63","22230","Шины(общее)","1324.57"
"РУМЫНИЯ","4011100003","27158025.87","29070","Шины(общее)","934.23"
"РУМЫНИЯ","4011201000","26409798.9","17928","Шины(общее)","1473.10"
"ИТАЛИЯ","8418102001","25752135.600000016","2196","Холодильники(общее)","11726.84"
"ЛАТВИЯ","8418108001","25006285.170000006","3456","Холодильники(общее)","7235.61"
"ИТАЛИЯ","4011100009","24382240.109999996","9567","Шины(общее)","2548.58"
"РОССИЯ","4011100009","22582926.359999996","18585","Шины(общее)","1215.12"
"ПОЛЬША","4011700000","22033257.930000003","3681","Шины(общее)","5985.67"
"ЛАТВИЯ","8418102001","21648912.929999992","2205","Холодильники(общее)","9818.10"
NULL,"4011400000","20925274.32000001","88173","Шины(общее)","237.32"
NULL,"4011700000","19323458.009999998","13599","Шины(общее)","1420.95"
"ВЕНГРИЯ","4011209000","18519413.13","2817","Шины(общее)","6574.16"
"ИНДИЯ","4011800000","18433941.929999996","12213","Шины(общее)","1509.37"
"РУМЫНИЯ","8418108001","18317395.89","2151","Холодильники(общее)","8515.76"
"УКРАИНА","4011100003","17846986.77","27441","Шины(общее)","650.38"
"ТУРЦИЯ","4011900000","17669447.730000008","20178","Шины(общее)","875.68"
"ЭСТОНИЯ","4011100003","17042313.330000002","17523","Шины(общее)","972.57"
NULL,"4011100003","16869501.450000007","17091","Шины(общее)","987.04"
NULL,"8418102001","16597644.390000004","2214","Холодильники(общее)","7496.68"
"ТУРЦИЯ","8418108001","16035117.21","2997","Холодильники(общее)","5350.39"
"ЛИТВА","8418402001","14082497.999999994","3879","Холодильники(общее)","3630.45"
"ЭСТОНИЯ","4011100009","13310446.5","9630","Шины(общее)","1382.19"
"КИТАЙ","4011400000","12983886.090000011","69147","Шины(общее)","187.77"
"ОБЪЕДИНЕННЫЕ АРАБСКИЕ ЭМИРАТЫ","4011209000","12400719.299999999","1890","Шины(общее)","6561.23"
"ЛИТВА","4011900000","11931888.059999997","4734","Шины(общее)","2520.47"
"ПОЛЬША","4011900000","11659013.640000002","26091","Шины(общее)","446.86"
"ЛИТВА","4011800000","10978416.810000002","1062","Шины(общее)","10337.49"
NULL,"8418108001","10651173.569999995","2853","Холодильники(общее)","3733.32"
"УКРАИНА","4011100009","10590362.01","11673","Шины(общее)","907.25"
"ЧЕХИЯ","4011100003","10547499.24","6831","Шины(общее)","1544.06"
"ЛАТВИЯ","4011700000","10337947.379999999","153","Шины(общее)","67568.28"
"ТАЙВАНЬ (КИТАЙ)","4011100009","10243976.040000001","3996","Шины(общее)","2563.56"
"УЗБЕКИСТАН","8418219100","10097479.440000001","3528","Холодильники(общее)","2862.10"
"КИТАЙ","8418219100","9861149.790000001","12069","Холодильники(общее)","817.06"
"ЛАТВИЯ","4011209000","9680556.24","2052","Шины(общее)","4717.62"
"БЕЛЬГИЯ","4011209000","9666452.52","1116","Шины(общее)","8661.70"
"СЛОВАКИЯ","4011100003","9432122.760000002","11322","Шины(общее)","833.08"
"ИНДИЯ","4011900000","8636284.799999999","9360","Шины(общее)","922.68"
"КИТАЙ","8418402001","7865151.840000001","3276","Холодильники(общее)","2400.84"
"ЛАТВИЯ","4011100009","7543871.010000002","6165","Шины(общее)","1223.66"
"ГЕРМАНИЯ","4011100009","7367227.020000001","5589","Шины(общее)","1318.17"
